id,definition
P01,The rate of change of momentum of a body is directly proportional to the applied force and takes place in the direction of force. Mathematically F=ma where F is force m is mass and a is acceleration.
P02,Energy can neither be created nor destroyed it can only be transformed from one form to another. Total mechanical energy equals kinetic energy plus potential energy and remains constant for conservative forces.
P03,Kepler's First Law: planets move in elliptical orbits with Sun at one focus. Second Law: line joining planet to Sun sweeps equal areas in equal time. Third Law: square of period is proportional to cube of semi-major axis T squared is proportional to r cubed.
P04,The current flowing through a conductor between two points is directly proportional to the voltage across those points provided temperature remains constant. Mathematically V=IR where V is voltage I is current and R is resistance.
P05,Faraday's First Law: whenever magnetic flux linked with a circuit changes an EMF is induced. Second Law: magnitude of induced EMF equals rate of change of magnetic flux. Mathematically EMF equals negative dPhi by dt.
P06,RMS value of alternating current is the equivalent steady DC that produces same heating effect. I_rms equals I0 divided by root 2. Resonance in LCR circuit occurs when inductive reactance equals capacitive reactance giving minimum impedance and maximum current.
P07,When light travels from one medium to another the ratio of sine of angle of incidence to sine of angle of refraction is constant for given pair of media. Mathematically n1 sin i equals n2 sin r. Total internal reflection occurs when angle exceeds critical angle.
P08,When monochromatic light passes through two narrow slits interference produces alternating bright and dark fringes on screen. Fringe width beta equals lambda D divided by d where lambda is wavelength D is distance to screen and d is slit separation.
P09,When light of frequency greater than threshold frequency falls on metal surface electrons are emitted. Maximum kinetic energy of emitted electrons depends on frequency not intensity. Einstein equation: KE_max equals h nu minus phi where phi is work function.
P10,A p-n junction is formed by joining p-type and n-type semiconductors. In forward bias potential barrier reduces and current flows easily. In reverse bias barrier increases and only leakage current flows. Used as rectifier allowing current in one direction only.
C01,At constant temperature pressure of fixed amount of gas is inversely proportional to its volume. Mathematically PV equals constant or P1V1 equals P2V2 at constant temperature T.
C02,If a system at equilibrium is subjected to change in concentration pressure or temperature the equilibrium shifts in direction that tends to counteract the change.
C03,Oxidation is loss of electrons or increase in oxidation number. Reduction is gain of electrons or decrease in oxidation number. In every redox reaction oxidation and reduction occur simultaneously. Substance losing electrons is reducing agent and substance gaining electrons is oxidising agent.
C04,Ionic bond formed by complete transfer of electrons from one atom to another creating oppositely charged ions. Covalent bond formed by mutual sharing of electron pairs between atoms so both achieve stable noble gas configuration.
C05,One mole of any substance contains 6.022 times 10 to power 23 particles which is Avogadro's number. Molarity M equals moles of solute divided by volume of solution in litres. Molarity changes with temperature since volume changes with temperature.
C06,Galvanic cell converts chemical energy to electrical energy through spontaneous redox reactions. Consists of anode where oxidation occurs and cathode where reduction occurs connected by salt bridge. EMF of cell equals E cathode minus E anode.
C07,Rate of chemical reaction is change in concentration of reactants or products per unit time. Activation energy Ea is minimum energy reacting molecules must possess for reaction to occur. Arrhenius equation: k equals A times e to power negative Ea divided by RT.
C08,Unit cell is smallest repeating structural unit of crystalline solid. Entire crystal lattice built by repeating unit cell in three dimensions. Simple cubic has 1 atom per unit cell body centred cubic has 2 and face centred cubic has 4 atoms per unit cell.
C09,Coordination compound consists of central metal atom bonded to fixed number of ligands. In IUPAC nomenclature ligands named before metal anionic ligands end in o neutral ligands use common names and oxidation state of metal shown in Roman numerals.
C10,Aldehydes contain CHO functional group and ketones contain C=O flanked by two carbon atoms. Both undergo nucleophilic addition reactions because carbonyl carbon is electrophilic. Aldehydes are generally more reactive than ketones.
M01,Fundamental identities: sin squared theta plus cos squared theta equals 1. One plus tan squared theta equals sec squared theta. Compound angle: sin of A plus B equals sinA cosB plus cosA sinB. Double angle: sin 2A equals 2 sinA cosA.
M02,Slope of line through two points x1 y1 and x2 y2 is m equals y2 minus y1 divided by x2 minus x1. Forms: slope intercept y equals mx plus c. Point slope: y minus y1 equals m times x minus x1. Intercept form: x divided by a plus y divided by b equals 1.
M03,Limit of f(x) as x approaches a is L if f(x) can be made arbitrarily close to L by taking x close to a. Function f is continuous at x=a if f(a) is defined limit exists and limit equals f(a).
M04,Derivative of f(x) from first principles: f prime x equals limit as h approaches 0 of f(x+h) minus f(x) divided by h. Represents instantaneous rate of change and geometrically is slope of tangent to curve at that point.
M05,Definite integral from a to b of f(x)dx represents area bounded by curve y=f(x) x-axis and lines x=a and x=b. By Fundamental Theorem: integral from a to b equals F(b) minus F(a) where F is antiderivative of f.
M06,Matrix is rectangular array of numbers. Determinant of 2x2 matrix with elements a b c d equals ad minus bc. Matrix has inverse if and only if determinant is non-zero. System AX=B has unique solution X equals A inverse times B when determinant of A is not zero.
M07,Bayes Theorem: P of A given B equals P of B given A times P of A divided by P of B. For partition of sample space into events E1 to En: P of Ei given A equals P of A given Ei times P of Ei divided by sum of P of A given Ej times P of Ej. Used to update probabilities with new information.
M08,Direction cosines of line are cosines of angles alpha beta gamma that line makes with positive x y z axes: l equals cos alpha m equals cos beta n equals cos gamma. Important property: l squared plus m squared plus n squared equals 1.
M09,Binomial theorem for positive integer n: (a+b) to power n equals sum of C(n r) times a to power n-r times b to power r for r from 0 to n where C(n r) equals n factorial divided by r factorial times (n-r) factorial. General term T(r+1) equals C(n r) times a to n-r times b to r. Middle term when n is even is the (n/2 plus 1)th term. NCERT Class 11 Maths Ch. 7
M10,Permutation is arrangement of objects in definite order. P(n r) equals n factorial divided by (n-r) factorial. Combination is selection without regard to order. C(n r) equals n factorial divided by r factorial times (n-r) factorial. Key relationship P(n r) equals r factorial times C(n r). NCERT Class 11 Maths Ch. 6
